sets_read,total_elements,avg_size_bits_per_element,number_queries,avg_time
20000,1117416332,7.65409,17536,3.782471,2277
20000,1117416332,10.1381,17536,2.810008,2277
20000,1117416332,14.2689,17536,1.73322,2277
