sets_read,total_elements,avg_size_bits_per_element,number_queries,avg_time
20000,1117416332,8.02875,17536,0.703826,2277
20000,1117416332,10.4122,17536,0.710013,2277
20000,1117416332,14.4661,17536,0.700897,2277
20000,1117416332,8.62875,17536,0.733826,2277
20000,1117416332,10.6122,17536,0.740013,2277
20000,1117416332,14.6661,17536,0.730897,2277
